cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg,car name
6,258.0,110.0,2962.0,13.5,71,1,18.0,amc hornet sportabout (sw)
4,140.0,72.0,2408.0,19.0,71,1,22.0,chevrolet vega (sw)
6,250.0,100.0,3282.0,15.0,71,1,19.0,pontiac firebird
6,250.0,88.0,3139.0,14.5,71,1,18.0,ford mustang
4,122.0,86.0,2220.0,14.0,71,1,23.0,mercury capri 2000
4,116.0,90.0,2123.0,14.0,71,2,28.0,opel 1900
4,79.0,70.0,2074.0,19.5,71,2,30.0,peugeot 304
4,88.0,76.0,2065.0,14.5,71,2,30.0,fiat 124b
4,71.0,65.0,1773.0,19.0,71,3,31.0,toyota corolla 1200
4,72.0,69.0,1613.0,18.0,71,3,35.0,datsun 1200
4,97.0,60.0,1834.0,19.0,71,2,27.0,volkswagen model 111
4,91.0,70.0,1955.0,20.5,71,1,26.0,plymouth cricket
4,113.0,95.0,2278.0,15.5,72,3,24.0,toyota corona hardtop
4,97.5,80.0,2126.0,17.0,72,1,25.0,dodge colt hardtop
4,97.0,54.0,2254.0,23.5,72,2,23.0,volkswagen type 3
4,140.0,90.0,2408.0,19.5,72,1,20.0,chevrolet vega
4,122.0,86.0,2226.0,16.5,72,1,21.0,ford pinto runabout
8,350.0,165.0,4274.0,12.0,72,1,13.0,chevrolet impala
8,400.0,175.0,4385.0,12.0,72,1,14.0,pontiac catalina
8,318.0,150.0,4135.0,13.5,72,1,15.0,plymouth fury iii
8,351.0,153.0,4129.0,13.0,72,1,14.0,ford galaxie 500
8,304.0,150.0,3672.0,11.5,72,1,17.0,amc ambassador sst
8,429.0,208.0,4633.0,11.0,72,1,11.0,mercury marquis
8,350.0,155.0,4502.0,13.5,72,1,13.0,buick lesabre custom
8,350.0,160.0,4456.0,13.5,72,1,12.0,oldsmobile delta 88 royale
8,400.0,190.0,4422.0,12.5,72,1,13.0,chrysler newport royal
3,70.0,97.0,2330.0,13.5,72,3,19.0,mazda rx2 coupe
8,304.0,150.0,3892.0,12.5,72,1,15.0,amc matador (sw)
8,307.0,130.0,4098.0,14.0,72,1,13.0,chevrolet chevelle concours (sw)
8,302.0,140.0,4294.0,16.0,72,1,13.0,ford gran torino (sw)
8,318.0,150.0,4077.0,14.0,72,1,14.0,plymouth satellite custom (sw)
4,121.0,112.0,2933.0,14.5,72,2,18.0,volvo 145e (sw)
4,121.0,76.0,2511.0,18.0,72,2,22.0,volkswagen 411 (sw)
4,120.0,87.0,2979.0,19.5,72,2,21.0,peugeot 504 (sw)
4,96.0,69.0,2189.0,18.0,72,2,26.0,renault 12 (sw)
4,122.0,86.0,2395.0,16.0,72,1,22.0,ford pinto (sw)
4,97.0,92.0,2288.0,17.0,72,3,28.0,datsun 510 (sw)
4,120.0,97.0,2506.0,14.5,72,3,23.0,toyouta corona mark ii (sw)
4,98.0,80.0,2164.0,15.0,72,1,28.0,dodge colt (sw)
4,97.0,88.0,2100.0,16.5,72,3,27.0,toyota corolla 1600 (sw)
8,350.0,175.0,4100.0,13.0,73,1,13.0,buick century 350
8,304.0,150.0,3672.0,11.5,73,1,14.0,amc matador
8,350.0,145.0,3988.0,13.0,73,1,13.0,chevrolet malibu
8,302.0,137.0,4042.0,14.5,73,1,14.0,ford gran torino
8,318.0,150.0,3777.0,12.5,73,1,15.0,dodge coronet custom
8,429.0,198.0,4952.0,11.5,73,1,12.0,mercury marquis brougham
8,400.0,150.0,4464.0,12.0,73,1,13.0,chevrolet caprice classic
8,351.0,158.0,4363.0,13.0,73,1,13.0,ford ltd
8,318.0,150.0,4237.0,14.5,73,1,14.0,plymouth fury gran sedan
8,440.0,215.0,4735.0,11.0,73,1,13.0,chrysler new yorker brougham
8,455.0,225.0,4951.0,11.0,73,1,12.0,buick electra 225 custom
8,360.0,175.0,3821.0,11.0,73,1,13.0,amc ambassador brougham
6,225.0,105.0,3121.0,16.5,73,1,18.0,plymouth valiant
6,250.0,100.0,3278.0,18.0,73,1,16.0,chevrolet nova custom
6,232.0,100.0,2945.0,16.0,73,1,18.0,amc hornet
6,250.0,88.0,3021.0,16.5,73,1,18.0,ford maverick
6,198.0,95.0,2904.0,16.0,73,1,23.0,plymouth duster
4,97.0,46.0,1950.0,21.0,73,2,26.0,volkswagen super beetle
8,400.0,150.0,4997.0,14.0,73,1,11.0,chevrolet impala
8,400.0,167.0,4906.0,12.5,73,1,12.0,ford country
8,360.0,170.0,4654.0,13.0,73,1,13.0,plymouth custom suburb
8,350.0,180.0,4499.0,12.5,73,1,12.0,oldsmobile vista cruiser
6,232.0,100.0,2789.0,15.0,73,1,18.0,amc gremlin
4,97.0,88.0,2279.0,19.0,73,3,20.0,toyota carina
4,140.0,72.0,2401.0,19.5,73,1,21.0,chevrolet vega
4,108.0,94.0,2379.0,16.5,73,3,22.0,datsun 610
3,70.0,90.0,2124.0,13.5,73,3,18.0,maxda rx3
4,122.0,85.0,2310.0,18.5,73,1,19.0,ford pinto
6,155.0,107.0,2472.0,14.0,73,1,21.0,mercury capri v6
4,98.0,90.0,2265.0,15.5,73,2,26.0,fiat 124 sport coupe
8,350.0,145.0,4082.0,13.0,73,1,15.0,chevrolet monte carlo s
8,400.0,230.0,4278.0,9.5,73,1,16.0,pontiac grand prix
4,68.0,49.0,1867.0,19.5,73,2,29.0,fiat 128
4,116.0,75.0,2158.0,15.5,73,2,24.0,opel manta
4,114.0,91.0,2582.0,14.0,73,2,20.0,audi 100ls
4,121.0,112.0,2868.0,15.5,73,2,19.0,volvo 144ea
8,318.0,150.0,3399.0,11.0,73,1,15.0,dodge dart custom
4,121.0,110.0,2660.0,14.0,73,2,24.0,saab 99le
6,156.0,122.0,2807.0,13.5,73,3,20.0,toyota mark ii
8,350.0,180.0,3664.0,11.0,73,1,11.0,oldsmobile omega
6,198.0,95.0,3102.0,16.5,74,1,20.0,plymouth duster
6,200.0,,2875.0,17.0,74,1,21.0,ford maverick
6,232.0,100.0,2901.0,16.0,74,1,19.0,amc hornet
6,250.0,100.0,3336.0,17.0,74,1,15.0,chevrolet nova
4,79.0,67.0,1950.0,19.0,74,3,31.0,datsun b210
4,122.0,80.0,2451.0,16.5,74,1,26.0,ford pinto
4,71.0,65.0,1836.0,21.0,74,3,32.0,toyota corolla 1200
4,140.0,75.0,2542.0,17.0,74,1,25.0,chevrolet vega
6,250.0,100.0,3781.0,17.0,74,1,16.0,chevrolet chevelle malibu classic
6,258.0,110.0,3632.0,18.0,74,1,16.0,amc matador
6,225.0,105.0,3613.0,16.5,74,1,18.0,plymouth satellite sebring
8,302.0,140.0,4141.0,14.0,74,1,16.0,ford gran torino
8,350.0,150.0,4699.0,14.5,74,1,13.0,buick century luxus (sw)
8,318.0,150.0,4457.0,13.5,74,1,14.0,dodge coronet custom (sw)
8,302.0,140.0,4638.0,16.0,74,1,14.0,ford gran torino (sw)
8,304.0,150.0,4257.0,15.5,74,1,14.0,amc matador (sw)
4,98.0,83.0,2219.0,16.5,74,2,29.0,audi fox
4,79.0,67.0,1963.0,15.5,74,2,26.0,volkswagen dasher
4,97.0,78.0,2300.0,14.5,74,2,26.0,opel manta
4,76.0,52.0,1649.0,16.5,74,3,31.0,toyota corona
4,83.0,61.0,2003.0,19.0,74,3,32.0,datsun 710
4,90.0,75.0,2125.0,14.5,74,1,28.0,dodge colt
4,90.0,75.0,2108.0,15.5,74,2,24.0,fiat 128
4,116.0,75.0,2246.0,14.0,74,2,26.0,fiat 124 tc
4,120.0,97.0,2489.0,15.0,74,3,24.0,honda civic
4,108.0,93.0,2391.0,15.5,74,3,26.0,subaru
4,79.0,67.0,2000.0,16.0,74,2,31.0,fiat x1.9
6,225.0,95.0,3264.0,16.0,75,1,19.0,plymouth valiant custom
6,250.0,105.0,3459.0,16.0,75,1,18.0,chevrolet nova
6,250.0,72.0,3432.0,21.0,75,1,15.0,mercury monarch
6,250.0,72.0,3158.0,19.5,75,1,15.0,ford maverick
8,400.0,170.0,4668.0,11.5,75,1,16.0,pontiac catalina
8,350.0,145.0,4440.0,14.0,75,1,15.0,chevrolet bel air
8,318.0,150.0,4498.0,14.5,75,1,16.0,plymouth grand fury
8,351.0,148.0,4657.0,13.5,75,1,14.0,ford ltd
6,231.0,110.0,3907.0,21.0,75,1,17.0,buick century
6,250.0,105.0,3897.0,18.5,75,1,16.0,chevroelt chevelle malibu
6,258.0,110.0,3730.0,19.0,75,1,15.0,amc matador
6,225.0,95.0,3785.0,19.0,75,1,18.0,plymouth fury
6,231.0,110.0,3039.0,15.0,75,1,21.0,buick skyhawk
8,262.0,110.0,3221.0,13.5,75,1,20.0,chevrolet monza 2+2
8,302.0,129.0,3169.0,12.0,75,1,13.0,ford mustang ii
4,97.0,75.0,2171.0,16.0,75,3,29.0,toyota corolla
4,140.0,83.0,2639.0,17.0,75,1,23.0,ford pinto
6,232.0,100.0,2914.0,16.0,75,1,20.0,amc gremlin
4,140.0,78.0,2592.0,18.5,75,1,23.0,pontiac astro
4,134.0,96.0,2702.0,13.5,75,3,24.0,toyota corona
4,90.0,71.0,2223.0,16.5,75,2,25.0,volkswagen dasher
4,119.0,97.0,2545.0,17.0,75,3,24.0,datsun 710
6,171.0,97.0,2984.0,14.5,75,1,18.0,ford pinto
4,90.0,70.0,1937.0,14.0,75,2,29.0,volkswagen rabbit
6,232.0,90.0,3211.0,17.0,75,1,19.0,amc pacer
4,115.0,95.0,2694.0,15.0,75,2,23.0,audi 100ls
4,120.0,88.0,2957.0,17.0,75,2,23.0,peugeot 504
4,121.0,98.0,2945.0,14.5,75,2,22.0,volvo 244dl
4,121.0,115.0,2671.0,13.5,75,2,25.0,saab 99le
4,91.0,53.0,1795.0,17.5,75,3,33.0,honda civic cvcc
4,107.0,86.0,2464.0,15.5,76,2,28.0,fiat 131
4,116.0,81.0,2220.0,16.9,76,2,25.0,opel 1900
4,140.0,92.0,2572.0,14.9,76,1,25.0,capri ii
4,98.0,79.0,2255.0,17.7,76,1,26.0,dodge colt
4,101.0,83.0,2202.0,15.3,76,2,27.0,renault 12tl
8,305.0,140.0,4215.0,13.0,76,1,17.5,chevrolet chevelle malibu classic
8,318.0,150.0,4190.0,13.0,76,1,16.0,dodge coronet brougham
8,304.0,120.0,3962.0,13.9,76,1,15.5,amc matador
8,351.0,152.0,4215.0,12.8,76,1,14.5,ford gran torino
6,225.0,100.0,3233.0,15.4,76,1,22.0,plymouth valiant
6,250.0,105.0,3353.0,14.5,76,1,22.0,chevrolet nova
6,200.0,81.0,3012.0,17.6,76,1,24.0,ford maverick
6,232.0,90.0,3085.0,17.6,76,1,22.5,amc hornet
4,85.0,52.0,2035.0,22.2,76,1,29.0,chevrolet chevette
4,98.0,60.0,2164.0,22.1,76,1,24.5,chevrolet woody
4,90.0,70.0,1937.0,14.2,76,2,29.0,vw rabbit
4,91.0,53.0,1795.0,17.4,76,3,33.0,honda civic
6,225.0,100.0,3651.0,17.7,76,1,20.0,dodge aspen se
6,250.0,78.0,3574.0,21.0,76,1,18.0,ford granada ghia
6,250.0,110.0,3645.0,16.2,76,1,18.5,pontiac ventura sj
6,258.0,95.0,3193.0,17.8,76,1,17.5,amc pacer d/l
4,97.0,71.0,1825.0,12.2,76,2,29.5,volkswagen rabbit
4,85.0,70.0,1990.0,17.0,76,3,32.0,datsun b-210
4,97.0,75.0,2155.0,16.4,76,3,28.0,toyota corolla
4,140.0,72.0,2565.0,13.6,76,1,26.5,ford pinto
4,130.0,102.0,3150.0,15.7,76,2,20.0,volvo 245
8,318.0,150.0,3940.0,13.2,76,1,13.0,plymouth volare premier v8
4,120.0,88.0,3270.0,21.9,76,2,19.0,peugeot 504
6,156.0,108.0,2930.0,15.5,76,3,19.0,toyota mark ii
6,168.0,120.0,3820.0,16.7,76,2,16.5,mercedes-benz 280s
8,350.0,180.0,4380.0,12.1,76,1,16.5,cadillac seville
8,350.0,145.0,4055.0,12.0,76,1,13.0,chevy c10
8,302.0,130.0,3870.0,15.0,76,1,13.0,ford f108
8,318.0,150.0,3755.0,14.0,76,1,13.0,dodge d100
4,98.0,68.0,2045.0,18.5,77,3,31.5,honda accord cvcc
4,111.0,80.0,2155.0,14.8,77,1,30.0,buick opel isuzu deluxe
4,79.0,58.0,1825.0,18.6,77,2,36.0,renault 5 gtl
4,122.0,96.0,2300.0,15.5,77,1,25.5,plymouth arrow gs
4,85.0,70.0,1945.0,16.8,77,3,33.5,datsun f-10 hatchback
8,305.0,145.0,3880.0,12.5,77,1,17.5,chevrolet caprice classic
8,260.0,110.0,4060.0,19.0,77,1,17.0,oldsmobile cutlass supreme
8,318.0,145.0,4140.0,13.7,77,1,15.5,dodge monaco brougham
8,302.0,130.0,4295.0,14.9,77,1,15.0,mercury cougar brougham
6,250.0,110.0,3520.0,16.4,77,1,17.5,chevrolet concours
6,231.0,105.0,3425.0,16.9,77,1,20.5,buick skylark
6,225.0,100.0,3630.0,17.7,77,1,19.0,plymouth volare custom
6,250.0,98.0,3525.0,19.0,77,1,18.5,ford granada
8,400.0,180.0,4220.0,11.1,77,1,16.0,pontiac grand prix lj
8,350.0,170.0,4165.0,11.4,77,1,15.5,chevrolet monte carlo landau
8,400.0,190.0,4325.0,12.2,77,1,15.5,chrysler cordoba
8,351.0,149.0,4335.0,14.5,77,1,16.0,ford thunderbird
4,97.0,78.0,1940.0,14.5,77,2,29.0,volkswagen rabbit custom
4,151.0,88.0,2740.0,16.0,77,1,24.5,pontiac sunbird coupe
4,97.0,75.0,2265.0,18.2,77,3,26.0,toyota corolla liftback
4,140.0,89.0,2755.0,15.8,77,1,25.5,ford mustang ii 2+2
4,98.0,63.0,2051.0,17.0,77,1,30.5,chevrolet chevette
4,98.0,83.0,2075.0,15.9,77,1,33.5,dodge colt m/m
4,97.0,67.0,1985.0,16.4,77,3,30.0,subaru dl
4,97.0,78.0,2190.0,14.1,77,2,30.5,volkswagen dasher
6,146.0,97.0,2815.0,14.5,77,3,22.0,datsun 810
4,121.0,110.0,2600.0,12.8,77,2,21.5,bmw 320i
3,80.0,110.0,2720.0,13.5,77,3,21.5,mazda rx-4
4,90.0,48.0,1985.0,21.5,78,2,43.1,volkswagen rabbit custom diesel
4,98.0,66.0,1800.0,14.4,78,1,36.1,ford fiesta
4,78.0,52.0,1985.0,19.4,78,3,32.8,mazda glc deluxe
4,85.0,70.0,2070.0,18.6,78,3,39.4,datsun b210 gx
4,91.0,60.0,1800.0,16.4,78,3,36.1,honda civic cvcc
8,260.0,110.0,3365.0,15.5,78,1,19.9,oldsmobile cutlass salon brougham
8,318.0,140.0,3735.0,13.2,78,1,19.4,dodge diplomat
8,302.0,139.0,3570.0,12.8,78,1,20.2,mercury monarch ghia
6,231.0,105.0,3535.0,19.2,78,1,19.2,pontiac phoenix lj
6,200.0,95.0,3155.0,18.2,78,1,20.5,chevrolet malibu
6,200.0,85.0,2965.0,15.8,78,1,20.2,ford fairmont (auto)
4,140.0,88.0,2720.0,15.4,78,1,25.1,ford fairmont (man)
6,225.0,100.0,3430.0,17.2,78,1,20.5,plymouth volare
6,232.0,90.0,3210.0,17.2,78,1,19.4,amc concord
6,231.0,105.0,3380.0,15.8,78,1,20.6,buick century special
6,200.0,85.0,3070.0,16.7,78,1,20.8,mercury zephyr
6,225.0,110.0,3620.0,18.7,78,1,18.6,dodge aspen
6,258.0,120.0,3410.0,15.1,78,1,18.1,amc concord d/l
8,305.0,145.0,3425.0,13.2,78,1,19.2,chevrolet monte carlo landau
6,231.0,165.0,3445.0,13.4,78,1,17.7,buick regal sport coupe (turbo)
8,302.0,139.0,3205.0,11.2,78,1,18.1,ford futura
8,318.0,140.0,4080.0,13.7,78,1,17.5,dodge magnum xe
4,98.0,68.0,2155.0,16.5,78,1,30.0,chevrolet chevette
4,134.0,95.0,2560.0,14.2,78,3,27.5,toyota corona
4,119.0,97.0,2300.0,14.7,78,3,27.2,datsun 510
4,105.0,75.0,2230.0,14.5,78,1,30.9,dodge omni
4,134.0,95.0,2515.0,14.8,78,3,21.1,toyota celica gt liftback
4,156.0,105.0,2745.0,16.7,78,1,23.2,plymouth sapporo
4,151.0,85.0,2855.0,17.6,78,1,23.8,oldsmobile starfire sx
4,119.0,97.0,2405.0,14.9,78,3,23.9,datsun 200-sx
5,131.0,103.0,2830.0,15.9,78,2,20.3,audi 5000
6,163.0,125.0,3140.0,13.6,78,2,17.0,volvo 264gl
4,121.0,115.0,2795.0,15.7,78,2,21.6,saab 99gle
6,163.0,133.0,3410.0,15.8,78,2,16.2,peugeot 604sl
4,89.0,71.0,1990.0,14.9,78,2,31.5,volkswagen scirocco
4,98.0,68.0,2135.0,16.6,78,3,29.5,honda accord lx
6,231.0,115.0,3245.0,15.4,79,1,21.5,pontiac lemans v6
6,200.0,85.0,2990.0,18.2,79,1,19.8,mercury zephyr 6
4,140.0,88.0,2890.0,17.3,79,1,22.3,ford fairmont 4
6,232.0,90.0,3265.0,18.2,79,1,20.2,amc concord dl 6
6,225.0,110.0,3360.0,16.6,79,1,20.6,dodge aspen 6
8,305.0,130.0,3840.0,15.4,79,1,17.0,chevrolet caprice classic
8,302.0,129.0,3725.0,13.4,79,1,17.6,ford ltd landau
8,351.0,138.0,3955.0,13.2,79,1,16.5,mercury grand marquis
8,318.0,135.0,3830.0,15.2,79,1,18.2,dodge st. regis
8,350.0,155.0,4360.0,14.9,79,1,16.9,buick estate wagon (sw)
8,351.0,142.0,4054.0,14.3,79,1,15.5,ford country squire (sw)
8,267.0,125.0,3605.0,15.0,79,1,19.2,chevrolet malibu classic (sw)
8,360.0,150.0,3940.0,13.0,79,1,18.5,chrysler lebaron town @ country (sw)
4,89.0,71.0,1925.0,14.0,79,2,31.9,vw rabbit custom
4,86.0,65.0,1975.0,15.2,79,3,34.1,maxda glc deluxe
4,98.0,80.0,1915.0,14.4,79,1,35.7,dodge colt hatchback custom
4,121.0,80.0,2670.0,15.0,79,1,27.4,amc spirit dl
5,183.0,77.0,3530.0,20.1,79,2,25.4,mercedes benz 300d
8,350.0,125.0,3900.0,17.4,79,1,23.0,cadillac eldorado
4,141.0,71.0,3190.0,24.8,79,2,27.2,peugeot 504
8,260.0,90.0,3420.0,22.2,79,1,23.9,oldsmobile cutlass salon brougham
4,105.0,70.0,2200.0,13.2,79,1,34.2,plymouth horizon
4,105.0,70.0,2150.0,14.9,79,1,34.5,plymouth horizon tc3
4,85.0,65.0,2020.0,19.2,79,3,31.8,datsun 210
4,91.0,69.0,2130.0,14.7,79,2,37.3,fiat strada custom
4,151.0,90.0,2670.0,16.0,79,1,28.4,buick skylark limited
6,173.0,115.0,2595.0,11.3,79,1,28.8,chevrolet citation
6,173.0,115.0,2700.0,12.9,79,1,26.8,oldsmobile omega brougham
4,151.0,90.0,2556.0,13.2,79,1,33.5,pontiac phoenix
4,98.0,76.0,2144.0,14.7,80,2,41.5,vw rabbit
4,89.0,60.0,1968.0,18.8,80,3,38.1,toyota corolla tercel
4,98.0,70.0,2120.0,15.5,80,1,32.1,chevrolet chevette
4,86.0,65.0,2019.0,16.4,80,3,37.2,datsun 310
4,151.0,90.0,2678.0,16.5,80,1,28.0,chevrolet citation
4,140.0,88.0,2870.0,18.1,80,1,26.4,ford fairmont
4,151.0,90.0,3003.0,20.1,80,1,24.3,amc concord
6,225.0,90.0,3381.0,18.7,80,1,19.1,dodge aspen
4,97.0,78.0,2188.0,15.8,80,2,34.3,audi 4000
4,134.0,90.0,2711.0,15.5,80,3,29.8,toyota corona liftback
4,120.0,75.0,2542.0,17.5,80,3,31.3,mazda 626
4,119.0,92.0,2434.0,15.0,80,3,37.0,datsun 510 hatchback
4,108.0,75.0,2265.0,15.2,80,3,32.2,toyota corolla
4,86.0,65.0,2110.0,17.9,80,3,46.6,mazda glc
4,156.0,105.0,2800.0,14.4,80,1,27.9,dodge colt
4,85.0,65.0,2110.0,19.2,80,3,40.8,datsun 210
4,90.0,48.0,2085.0,21.7,80,2,44.3,vw rabbit c (diesel)
4,90.0,48.0,2335.0,23.7,80,2,43.4,vw dasher (diesel)
5,121.0,67.0,2950.0,19.9,80,2,36.4,audi 5000s (diesel)
4,146.0,67.0,3250.0,21.8,80,2,30.0,mercedes-benz 240d
4,91.0,67.0,1850.0,13.8,80,3,44.6,honda civic 1500 gl
4,85.0,,1835.0,17.3,80,2,40.9,renault lecar deluxe
4,97.0,67.0,2145.0,18.0,80,3,33.8,subaru dl
4,89.0,62.0,1845.0,15.3,80,2,29.8,vokswagen rabbit
6,168.0,132.0,2910.0,11.4,80,3,32.7,datsun 280-zx
3,70.0,100.0,2420.0,12.5,80,3,23.7,mazda rx-7 gs
4,122.0,88.0,2500.0,15.1,80,2,35.0,triumph tr7 coupe
4,140.0,,2905.0,14.3,80,1,23.6,ford mustang cobra
4,107.0,72.0,2290.0,17.0,80,3,32.4,honda accord
4,135.0,84.0,2490.0,15.7,81,1,27.2,plymouth reliant
4,151.0,84.0,2635.0,16.4,81,1,26.6,buick skylark
4,156.0,92.0,2620.0,14.4,81,1,25.8,dodge aries wagon (sw)
6,173.0,110.0,2725.0,12.6,81,1,23.5,chevrolet citation
4,135.0,84.0,2385.0,12.9,81,1,30.0,plymouth reliant
4,79.0,58.0,1755.0,16.9,81,3,39.1,toyota starlet
4,86.0,64.0,1875.0,16.4,81,1,39.0,plymouth champ
4,81.0,60.0,1760.0,16.1,81,3,35.1,honda civic 1300
4,97.0,67.0,2065.0,17.8,81,3,32.3,subaru
4,85.0,65.0,1975.0,19.4,81,3,37.0,datsun 210 mpg
4,89.0,62.0,2050.0,17.3,81,3,37.7,toyota tercel
4,91.0,68.0,1985.0,16.0,81,3,34.1,mazda glc 4
4,105.0,63.0,2215.0,14.9,81,1,34.7,plymouth horizon 4
4,98.0,65.0,2045.0,16.2,81,1,34.4,ford escort 4w
4,98.0,65.0,2380.0,20.7,81,1,29.9,ford escort 2h
4,105.0,74.0,2190.0,14.2,81,2,33.0,volkswagen jetta
4,100.0,,2320.0,15.8,81,2,34.5,renault 18i
4,107.0,75.0,2210.0,14.4,81,3,33.7,honda prelude
4,108.0,75.0,2350.0,16.8,81,3,32.4,toyota corolla
4,119.0,100.0,2615.0,14.8,81,3,32.9,datsun 200sx
4,120.0,74.0,2635.0,18.3,81,3,31.6,mazda 626
4,141.0,80.0,3230.0,20.4,81,2,28.1,peugeot 505s turbo diesel
6,145.0,76.0,3160.0,19.6,81,2,30.7,volvo diesel
6,168.0,116.0,2900.0,12.6,81,3,25.4,toyota cressida
6,146.0,120.0,2930.0,13.8,81,3,24.2,datsun 810 maxima
6,231.0,110.0,3415.0,15.8,81,1,22.4,buick century
8,350.0,105.0,3725.0,19.0,81,1,26.6,oldsmobile cutlass ls
6,200.0,88.0,3060.0,17.1,81,1,20.2,ford granada gl
6,225.0,85.0,3465.0,16.6,81,1,17.6,chrysler lebaron salon
4,112.0,88.0,2605.0,19.6,82,1,28.0,chevrolet cavalier
4,112.0,88.0,2640.0,18.6,82,1,27.0,chevrolet cavalier wagon
4,112.0,88.0,2395.0,18.0,82,1,34.0,chevrolet cavalier 2-door
4,112.0,85.0,2575.0,16.2,82,1,31.0,pontiac j2000 se hatchback
4,135.0,84.0,2525.0,16.0,82,1,29.0,dodge aries se
4,151.0,90.0,2735.0,18.0,82,1,27.0,pontiac phoenix
4,140.0,92.0,2865.0,16.4,82,1,24.0,ford fairmont futura
4,151.0,,3035.0,20.5,82,1,23.0,amc concord dl
4,105.0,74.0,1980.0,15.3,82,2,36.0,volkswagen rabbit l
4,91.0,68.0,2025.0,18.2,82,3,37.0,mazda glc custom l
4,91.0,68.0,1970.0,17.6,82,3,31.0,mazda glc custom
4,105.0,63.0,2125.0,14.7,82,1,38.0,plymouth horizon miser
4,98.0,70.0,2125.0,17.3,82,1,36.0,mercury lynx l
4,120.0,88.0,2160.0,14.5,82,3,36.0,nissan stanza xe
4,107.0,75.0,2205.0,14.5,82,3,36.0,honda accord
4,108.0,70.0,2245.0,16.9,82,3,34.0,toyota corolla
4,91.0,67.0,1965.0,15.0,82,3,38.0,honda civic
4,91.0,67.0,1965.0,15.7,82,3,32.0,honda civic (auto)
4,91.0,67.0,1995.0,16.2,82,3,38.0,datsun 310 gx
6,181.0,110.0,2945.0,16.4,82,1,25.0,buick century limited
6,262.0,85.0,3015.0,17.0,82,1,38.0,oldsmobile cutlass ciera (diesel)
4,156.0,92.0,2585.0,14.5,82,1,26.0,chrysler lebaron medallion
6,232.0,112.0,2835.0,14.7,82,1,22.0,ford granada l
4,144.0,96.0,2665.0,13.9,82,3,32.0,toyota celica gt
